SearchBayesianSkopt: New best config found. Config 0: {'topK': 547, 'shrink': 4.840239408318247, 'similarity': 'dice'} - results: PRECISION: 0.0586397, PRECISION_RECALL_MIN_DEN: 0.0595568, RECALL: 0.0166696, MAP: 0.0209206, MAP_MIN_DEN: 0.0213203, MRR: 0.1594496, NDCG: 0.0611806, F1: 0.0259596, HIT_RATE: 0.4458141, ARHR_ALL_HITS: 0.1827793, NOVELTY: 0.0054156, AVERAGE_POPULARITY: 0.6233242, DIVERSITY_MEAN_INTER_LIST: 0.8294278, DIVERSITY_HERFINDAHL: 0.9829367, COVERAGE_ITEM: 0.0885985, COVERAGE_ITEM_CORRECT: 0.0219281, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4451282, DIVERSITY_GINI: 0.0059282, SHANNON_ENTROPY: 6.8259968, RATIO_DIVERSITY_HERFINDAHL: 0.9833064, RATIO_DIVERSITY_GINI: 0.0228812, RATIO_SHANNON_ENTROPY: 0.5485842, RATIO_AVERAGE_POPULARITY: 3.1162931, RATIO_NOVELTY: 0.0283319, 
CUTOFF: 10 - PRECISION: 0.0686418, PRECISION_RECALL_MIN_DEN: 0.0693274, RECALL: 0.0162431, MAP: 0.0254878, MAP_MIN_DEN: 0.0258339, MRR: 0.1862479, NDCG: 0.0721131, F1: 0.0262698, HIT_RATE: 0.5020534, ARHR_ALL_HITS: 0.2178968, NOVELTY: 0.0054242, AVERAGE_POPULARITY: 0.6193261, DIVERSITY_MEAN_INTER_LIST: 0.8338712, DIVERSITY_HERFINDAHL: 0.9833810, COVERAGE_ITEM: 0.0943020, COVERAGE_ITEM_CORRECT: 0.0251952, COVERAGE_USER: 0.9989744, COVERAGE_USER_CORRECT: 0.5015385, DIVERSITY_GINI: 0.0063014, SHANNON_ENTROPY: 6.8887021, RATIO_DIVERSITY_HERFINDAHL: 0.9837509, RATIO_DIVERSITY_GINI: 0.0243216, RATIO_SHANNON_ENTROPY: 0.5536237, RATIO_AVERAGE_POPULARITY: 3.0963045, RATIO_NOVELTY: 0.0283771, 

SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 518, 'shrink': 1.7696044354038725, 'similarity': 'cosine'} - results: PRECISION: 0.0584929, PRECISION_RECALL_MIN_DEN: 0.0593867, RECALL: 0.0164780, MAP: 0.0208994, MAP_MIN_DEN: 0.0212402, MRR: 0.1591708, NDCG: 0.0609989, F1: 0.0257125, HIT_RATE: 0.4430259, ARHR_ALL_HITS: 0.1825629, NOVELTY: 0.0054610, AVERAGE_POPULARITY: 0.6061293, DIVERSITY_MEAN_INTER_LIST: 0.8439635, DIVERSITY_HERFINDAHL: 0.9843902, COVERAGE_ITEM: 0.1272496, COVERAGE_ITEM_CORRECT: 0.0244200, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4423443, DIVERSITY_GINI: 0.0078504, SHANNON_ENTROPY: 7.0584485, RATIO_DIVERSITY_HERFINDAHL: 0.9847604, RATIO_DIVERSITY_GINI: 0.0303003, RATIO_SHANNON_ENTROPY: 0.5672657, RATIO_AVERAGE_POPULARITY: 3.0303274, RATIO_NOVELTY: 0.0285698, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 436, 'shrink': 5.820369519145873, 'similarity': 'dice'} - results: PRECISION: 0.0584195, PRECISION_RECALL_MIN_DEN: 0.0593147, RECALL: 0.0165827, MAP: 0.0207449, MAP_MIN_DEN: 0.0211417, MRR: 0.1588420, NDCG: 0.0608660, F1: 0.0258326, HIT_RATE: 0.4464011, ARHR_ALL_HITS: 0.1816603, NOVELTY: 0.0054393, AVERAGE_POPULARITY: 0.6131665, DIVERSITY_MEAN_INTER_LIST: 0.8397796, DIVERSITY_HERFINDAHL: 0.9839718, COVERAGE_ITEM: 0.1064289, COVERAGE_ITEM_CORRECT: 0.0244200, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4457143, DIVERSITY_GINI: 0.0069551, SHANNON_ENTROPY: 6.9797036, RATIO_DIVERSITY_HERFINDAHL: 0.9843419, RATIO_DIVERSITY_GINI: 0.0268448, RATIO_SHANNON_ENTROPY: 0.5609372, RATIO_AVERAGE_POPULARITY: 3.0655098, RATIO_NOVELTY: 0.0284562, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 468, 'shrink': 3.5806864753161043, 'similarity': 'tanimoto'} - results: PRECISION: 0.0584342, PRECISION_RECALL_MIN_DEN: 0.0593265, RECALL: 0.0165626, MAP: 0.0208681, MAP_MIN_DEN: 0.0212769, MRR: 0.1591065, NDCG: 0.0610014, F1: 0.0258097, HIT_RATE: 0.4444934, ARHR_ALL_HITS: 0.1823392, NOVELTY: 0.0054324, AVERAGE_POPULARITY: 0.6161396, DIVERSITY_MEAN_INTER_LIST: 0.8369331, DIVERSITY_HERFINDAHL: 0.9836872, COVERAGE_ITEM: 0.1016114, COVERAGE_ITEM_CORRECT: 0.0238662, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4438095, DIVERSITY_GINI: 0.0066657, SHANNON_ENTROPY: 6.9379684, RATIO_DIVERSITY_HERFINDAHL: 0.9840572, RATIO_DIVERSITY_GINI: 0.0257279, RATIO_SHANNON_ENTROPY: 0.5575830, RATIO_AVERAGE_POPULARITY: 3.0803739, RATIO_NOVELTY: 0.0284199, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 552, 'shrink': 2.8782874217903363, 'similarity': 'tanimoto'} - results: PRECISION: 0.0585296, PRECISION_RECALL_MIN_DEN: 0.0594801, RECALL: 0.0166258, MAP: 0.0208864, MAP_MIN_DEN: 0.0212920, MRR: 0.1590014, NDCG: 0.0610740, F1: 0.0258958, HIT_RATE: 0.4440531, ARHR_ALL_HITS: 0.1823809, NOVELTY: 0.0054139, AVERAGE_POPULARITY: 0.6238929, DIVERSITY_MEAN_INTER_LIST: 0.8292159, DIVERSITY_HERFINDAHL: 0.9829155, COVERAGE_ITEM: 0.0883216, COVERAGE_ITEM_CORRECT: 0.0221496, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4433700, DIVERSITY_GINI: 0.0059126, SHANNON_ENTROPY: 6.8226343, RATIO_DIVERSITY_HERFINDAHL: 0.9832852, RATIO_DIVERSITY_GINI: 0.0228212, RATIO_SHANNON_ENTROPY: 0.5483140, RATIO_AVERAGE_POPULARITY: 3.1191360, RATIO_NOVELTY: 0.0283230, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 544, 'shrink': 5.028724974952761, 'similarity': 'tversky'} - results: PRECISION: 0.0586543, PRECISION_RECALL_MIN_DEN: 0.0595525, RECALL: 0.0166033, MAP: 0.0209360, MAP_MIN_DEN: 0.0213388, MRR: 0.1597928, NDCG: 0.0612353, F1: 0.0258806, HIT_RATE: 0.4464011, ARHR_ALL_HITS: 0.1830431, NOVELTY: 0.0054168, AVERAGE_POPULARITY: 0.6227652, DIVERSITY_MEAN_INTER_LIST: 0.8302207, DIVERSITY_HERFINDAHL: 0.9830160, COVERAGE_ITEM: 0.0904812, COVERAGE_ITEM_CORRECT: 0.0220942, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4457143, DIVERSITY_GINI: 0.0060202, SHANNON_ENTROPY: 6.8388335, RATIO_DIVERSITY_HERFINDAHL: 0.9833857, RATIO_DIVERSITY_GINI: 0.0232364, RATIO_SHANNON_ENTROPY: 0.5496159, RATIO_AVERAGE_POPULARITY: 3.1134981, RATIO_NOVELTY: 0.0283385, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 536, 'shrink': 4.472727450632012, 'similarity': 'tanimoto'} - results: PRECISION: 0.0587717, PRECISION_RECALL_MIN_DEN: 0.0596791, RECALL: 0.0166439, MAP: 0.0209392, MAP_MIN_DEN: 0.0213381, MRR: 0.1597020, NDCG: 0.0612843, F1: 0.0259414, HIT_RATE: 0.4478685, ARHR_ALL_HITS: 0.1830098, NOVELTY: 0.0054176, AVERAGE_POPULARITY: 0.6224058, DIVERSITY_MEAN_INTER_LIST: 0.8306588, DIVERSITY_HERFINDAHL: 0.9830598, COVERAGE_ITEM: 0.0904258, COVERAGE_ITEM_CORRECT: 0.0217620, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4471795, DIVERSITY_GINI: 0.0060495, SHANNON_ENTROPY: 6.8451062, RATIO_DIVERSITY_HERFINDAHL: 0.9834296, RATIO_DIVERSITY_GINI: 0.0233496, RATIO_SHANNON_ENTROPY: 0.5501200, RATIO_AVERAGE_POPULARITY: 3.1117016, RATIO_NOVELTY: 0.0283427, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 465, 'shrink': 1.2263968804156276, 'similarity': 'dice'} - results: PRECISION: 0.0584562, PRECISION_RECALL_MIN_DEN: 0.0593582, RECALL: 0.0166115, MAP: 0.0208800, MAP_MIN_DEN: 0.0212789, MRR: 0.1594451, NDCG: 0.0610476, F1: 0.0258712, HIT_RATE: 0.4450803, ARHR_ALL_HITS: 0.1826073, NOVELTY: 0.0054305, AVERAGE_POPULARITY: 0.6168024, DIVERSITY_MEAN_INTER_LIST: 0.8360532, DIVERSITY_HERFINDAHL: 0.9835992, COVERAGE_ITEM: 0.0973476, COVERAGE_ITEM_CORRECT: 0.0235340, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4443956, DIVERSITY_GINI: 0.0065123, SHANNON_ENTROPY: 6.9230055, RATIO_DIVERSITY_HERFINDAHL: 0.9839692, RATIO_DIVERSITY_GINI: 0.0251359, RATIO_SHANNON_ENTROPY: 0.5563805, RATIO_AVERAGE_POPULARITY: 3.0836871, RATIO_NOVELTY: 0.0284099, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 432, 'shrink': 7.2068436724714475, 'similarity': 'dice'} - results: PRECISION: 0.0584856, PRECISION_RECALL_MIN_DEN: 0.0594154, RECALL: 0.0166246, MAP: 0.0208443, MAP_MIN_DEN: 0.0212514, MRR: 0.1595388, NDCG: 0.0610537, F1: 0.0258900, HIT_RATE: 0.4466212, ARHR_ALL_HITS: 0.1824673, NOVELTY: 0.0054414, AVERAGE_POPULARITY: 0.6123562, DIVERSITY_MEAN_INTER_LIST: 0.8405745, DIVERSITY_HERFINDAHL: 0.9840513, COVERAGE_ITEM: 0.1079794, COVERAGE_ITEM_CORRECT: 0.0245861, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4459341, DIVERSITY_GINI: 0.0070440, SHANNON_ENTROPY: 6.9915590, RATIO_DIVERSITY_HERFINDAHL: 0.9844214, RATIO_DIVERSITY_GINI: 0.0271877, RATIO_SHANNON_ENTROPY: 0.5618900, RATIO_AVERAGE_POPULARITY: 3.0614586, RATIO_NOVELTY: 0.0284670, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 591, 'shrink': 3.1172013294410577, 'similarity': 'dice'} - results: PRECISION: 0.0583902, PRECISION_RECALL_MIN_DEN: 0.0593194, RECALL: 0.0165543, MAP: 0.0209228, MAP_MIN_DEN: 0.0213209, MRR: 0.1592611, NDCG: 0.0610378, F1: 0.0257953, HIT_RATE: 0.4440531, ARHR_ALL_HITS: 0.1826463, NOVELTY: 0.0054075, AVERAGE_POPULARITY: 0.6267530, DIVERSITY_MEAN_INTER_LIST: 0.8257224, DIVERSITY_HERFINDAHL: 0.9825662, COVERAGE_ITEM: 0.0836702, COVERAGE_ITEM_CORRECT: 0.0211529, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4433700, DIVERSITY_GINI: 0.0056471, SHANNON_ENTROPY: 6.7762493, RATIO_DIVERSITY_HERFINDAHL: 0.9829358, RATIO_DIVERSITY_GINI: 0.0217964, RATIO_SHANNON_ENTROPY: 0.5445862, RATIO_AVERAGE_POPULARITY: 3.1334352, RATIO_NOVELTY: 0.0282897, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 400, 'shrink': 8.099456254716086, 'similarity': 'tversky'} - results: PRECISION: 0.0583315, PRECISION_RECALL_MIN_DEN: 0.0592169, RECALL: 0.0165388, MAP: 0.0207972, MAP_MIN_DEN: 0.0211774, MRR: 0.1594083, NDCG: 0.0608923, F1: 0.0257708, HIT_RATE: 0.4455206, ARHR_ALL_HITS: 0.1821903, NOVELTY: 0.0054513, AVERAGE_POPULARITY: 0.6081595, DIVERSITY_MEAN_INTER_LIST: 0.8448260, DIVERSITY_HERFINDAHL: 0.9844764, COVERAGE_ITEM: 0.1162855, COVERAGE_ITEM_CORRECT: 0.0249737, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4448352, DIVERSITY_GINI: 0.0075501, SHANNON_ENTROPY: 7.0566863, RATIO_DIVERSITY_HERFINDAHL: 0.9848467, RATIO_DIVERSITY_GINI: 0.0291413, RATIO_SHANNON_ENTROPY: 0.5671240, RATIO_AVERAGE_POPULARITY: 3.0404773, RATIO_NOVELTY: 0.0285188, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 593, 'shrink': 5.971976288989182, 'similarity': 'tanimoto'} - results: PRECISION: 0.0585369, PRECISION_RECALL_MIN_DEN: 0.0595079, RECALL: 0.0166724, MAP: 0.0209377, MAP_MIN_DEN: 0.0213443, MRR: 0.1593411, NDCG: 0.0611486, F1: 0.0259529, HIT_RATE: 0.4451537, ARHR_ALL_HITS: 0.1827426, NOVELTY: 0.0054088, AVERAGE_POPULARITY: 0.6262970, DIVERSITY_MEAN_INTER_LIST: 0.8266265, DIVERSITY_HERFINDAHL: 0.9826566, COVERAGE_ITEM: 0.0863835, COVERAGE_ITEM_CORRECT: 0.0216513, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4444689, DIVERSITY_GINI: 0.0057348, SHANNON_ENTROPY: 6.7877475, RATIO_DIVERSITY_HERFINDAHL: 0.9830262, RATIO_DIVERSITY_GINI: 0.0221348, RATIO_SHANNON_ENTROPY: 0.5455103, RATIO_AVERAGE_POPULARITY: 3.1311555, RATIO_NOVELTY: 0.0282964, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 535, 'shrink': 3.379693021071805, 'similarity': 'dice'} - results: PRECISION: 0.0587497, PRECISION_RECALL_MIN_DEN: 0.0597107, RECALL: 0.0167021, MAP: 0.0209144, MAP_MIN_DEN: 0.0213162, MRR: 0.1593732, NDCG: 0.0612370, F1: 0.0260098, HIT_RATE: 0.4472082, ARHR_ALL_HITS: 0.1827393, NOVELTY: 0.0054168, AVERAGE_POPULARITY: 0.6227241, DIVERSITY_MEAN_INTER_LIST: 0.8301106, DIVERSITY_HERFINDAHL: 0.9830050, COVERAGE_ITEM: 0.0884324, COVERAGE_ITEM_CORRECT: 0.0216513, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4465201, DIVERSITY_GINI: 0.0059666, SHANNON_ENTROPY: 6.8352681, RATIO_DIVERSITY_HERFINDAHL: 0.9833747, RATIO_DIVERSITY_GINI: 0.0230293, RATIO_SHANNON_ENTROPY: 0.5493293, RATIO_AVERAGE_POPULARITY: 3.1132926, RATIO_NOVELTY: 0.0283383, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 432, 'shrink': 1.217054930388003, 'similarity': 'cosine'} - results: PRECISION: 0.0582288, PRECISION_RECALL_MIN_DEN: 0.0591162, RECALL: 0.0163870, MAP: 0.0207520, MAP_MIN_DEN: 0.0211014, MRR: 0.1588754, NDCG: 0.0607255, F1: 0.0255762, HIT_RATE: 0.4425857, ARHR_ALL_HITS: 0.1816827, NOVELTY: 0.0054806, AVERAGE_POPULARITY: 0.5982785, DIVERSITY_MEAN_INTER_LIST: 0.8513553, DIVERSITY_HERFINDAHL: 0.9851293, COVERAGE_ITEM: 0.1413700, COVERAGE_ITEM_CORRECT: 0.0264134, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4419048, DIVERSITY_GINI: 0.0088783, SHANNON_ENTROPY: 7.1771387, RATIO_DIVERSITY_HERFINDAHL: 0.9854998, RATIO_DIVERSITY_GINI: 0.0342680, RATIO_SHANNON_ENTROPY: 0.5768044, RATIO_AVERAGE_POPULARITY: 2.9910776, RATIO_NOVELTY: 0.0286723, 
SearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 477, 'shrink': 9.456151696526659, 'similarity': 'dice'} - results: PRECISION: 0.0585810, PRECISION_RECALL_MIN_DEN: 0.0595185, RECALL: 0.0166689, MAP: 0.0209597, MAP_MIN_DEN: 0.0213632, MRR: 0.1597175, NDCG: 0.0611992, F1: 0.0259531, HIT_RATE: 0.4451537, ARHR_ALL_HITS: 0.1830936, NOVELTY: 0.0054326, AVERAGE_POPULARITY: 0.6162442, DIVERSITY_MEAN_INTER_LIST: 0.8365656, DIVERSITY_HERFINDAHL: 0.9836504, COVERAGE_ITEM: 0.1023866, COVERAGE_ITEM_CORRECT: 0.0238662, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4444689, DIVERSITY_GINI: 0.0066499, SHANNON_ENTROPY: 6.9318534, RATIO_DIVERSITY_HERFINDAHL: 0.9840204, RATIO_DIVERSITY_GINI: 0.0256666, RATIO_SHANNON_ENTROPY: 0.5570916, RATIO_AVERAGE_POPULARITY: 3.0808968, RATIO_NOVELTY: 0.0284211, 
